# 
# Study ERP023010: Nippostrongylus brasiliensis Genome & Transcriptome sequencing and assembly
# See Chandler .. Eccles, 2017: https://www.ncbi.nlm.nih.gov/pubmed/28491281, Eccles .. Ewbank, 2018: https://www.ncbi.nlm.nih.gov/pubmed/29325570
# Reads aligned with TopHat2 and quantified with HTSeq, by RNASeq-er: https://www.ebi.ac.uk/fg/rnaseq/api
# 
# Values are transcripts per million units (TPMs) per gene for each run
gene_id	ERR2023649	ERR2023650	ERR2023651	ERR2023646	ERR2023647	ERR2023648	ERR2023652	ERR2023653	ERR2023654
NBR_0000000001	1.46	1.34	1.72	1.3	1.5	1.8	1.77	1.69	1.56
NBR_0000000101	0.74	0.76	1.46	6.53	5.29	5.55	1.24	1.99	1.92
NBR_0000000201	32.6	36.02	33.25	65.84	62.39	60.76	25.85	23.7	23.45
NBR_0000000301	20.23	22.05	25.26	58.07	49.77	51.05	77.36	63.41	61.89
NBR_0000000401	0.24	0.23	0.22	0.45	0.15	0.08	0.39	0.07	0.37
NBR_0000000501	49.84	53.67	53.79	90.26	83.23	79.2	62.61	61.4	64.23
NBR_0000000601	28.7	29.86	31.09	12.24	14.2	15.12	29.5	32.39	30.47
NBR_0000000701	61.04	77.1	67.69	18.68	19.95	20.36	79.26	80.01	79.96
NBR_0000000801	134.7	137.19	140.91	171.05	166.08	171.24	140.8	152.83	156.04
NBR_0000000901	82.77	79.92	82.01	77.76	75.41	78.27	85.95	81.88	81.74
NBR_0000001001	0.59	0.87	1.87	21.95	27.99	19.9	1.89	1.39	1.55
NBR_0000001101	0.52	0.83	0	0.64	0.65	1.37	0.84	0.47	0.32
NBR_0000001201	30.11	34.06	30.4	15.04	15.08	18.22	32.29	31.02	31.15
NBR_0000001301	1.31	1.1	1.34	0.57	1.09	0.91	1.34	1.67	1.99
NBR_0000001401	0	0	0	0	0	0	0	0	0
NBR_0000001501	0.23	0.44	0.11	0.21	0.76	0.57	0.22	0.42	0.11
NBR_0000001601	35.73	39.88	43.55	36.29	41.78	43.28	51.38	44.48	44.02
NBR_0000001701	183.72	188.43	208.76	115.11	111.13	124.2	202.91	214.01	223.67
NBR_0000001801	24.82	23.26	26.85	32.68	48.12	51.49	34.46	33.21	25.48
NBR_0000001901	37.2	39.47	40.12	103.14	135.21	158.21	42.28	38.4	42.79
NBR_0000002001	15.18	12.83	12.44	38.81	41.54	56.33	11.35	11.78	14.32
NBR_0000002101	0	0	0	0.2	0	0	0	0	0
NBR_0000002201	119.16	131.82	145.26	256.29	251.57	216.92	143.04	162.76	164.07
NBR_0000002301	2.09	2.19	4.5	1.73	2.36	1.79	5.93	3.81	4.58
NBR_0000002401	23.17	27.12	23.96	56.72	60.62	58.53	31.7	39.5	39.04
NBR_0000002501	0	0	0	0.49	0	0.26	0	0.24	0.48
NBR_0000002601	15.84	20.11	19.32	25.53	27.83	31.75	20.24	19.57	15.25
NBR_0000002701	0	0.21	0	0	0.2	0	0	0	0.2
NBR_0000002801	3.36	3.71	4.3	8.32	7.17	8.85	3.75	2.18	1.61
NBR_0000002901	0	0	0	0	0	0	0	0	0
NBR_0000003001	0.25	0	0	0	0	1.25	0	0.23	0.93
NBR_0000003101	53.15	36.25	48.74	136.84	132.51	118.51	80.37	91.52	88.25
NBR_0000003201	8.93	8.7	8.1	13.47	13.91	14.12	6.99	7.66	6.03
NBR_0000003301	69.84	65.77	61.23	11.29	9.46	9.43	49.42	44.67	35.89
NBR_0000003401	2.86	2.96	3.57	6.48	7.35	6.68	3.23	2.45	2.41
NBR_0000003501	1.6	2.32	1.66	0.77	0.65	1.51	1.41	1.82	1.41
NBR_0000003601	0.07	0.07	0	0	0	0	0	0.07	0.27
NBR_0000003701	1.81	2.43	1.72	1.43	0.97	1.12	2.33	1.66	1.39
NBR_0000003801	2	1.32	1.68	1.7	1.35	1.04	1.88	1.6	1.69
NBR_0000003901	0	0	0	0	0	0	0	0	0
NBR_0000004001	0	0	0.34	0.17	0.34	0	0.18	0	0
NBR_0000004101	18.04	18.21	18.14	74.66	75.83	70.41	17.47	16.08	14.95
NBR_0000004201	2460.67	2593.64	2426.06	930.71	958.96	1001.85	2267.31	2202.13	2232.36
NBR_0000004301	13.38	16.73	16.01	6.63	6.16	6.7	15.55	14.98	13.96
NBR_0000004401	54.66	60.45	64.5	31.67	32.23	34.22	85.74	82.15	81.1
NBR_0000004501	12.04	14.19	13.9	13.35	12.83	13.17	11.02	11.11	12.46
NBR_0000004601	77.1	80.34	85.29	85.33	93.71	98.03	99.34	105.41	106.58
NBR_0000004701	18.3	18.61	18.83	11.54	12.23	13.68	18.19	21.96	22.28
NBR_0000004801	95.55	94.02	100.35	85.13	94.22	98.89	93.95	100.18	107.73
NBR_0000004901	13.1	16.16	13.41	19.6	15.47	18.14	11.83	9.51	8.56
NBR_0000005001	16.81	19.57	18.48	24.75	23.38	27.14	16.67	14.18	13.34
NBR_0000005101	0.87	1.43	3.04	0.37	0.96	0.54	1.91	3.13	3.49
NBR_0000005201	0.25	0.18	0.54	1.58	1.25	0.8	0.42	0.59	0.49
NBR_0000005301	8.81	6.84	12.44	8.67	9.69	9.89	8.68	8.97	12.51
NBR_0000005401	305.04	288.38	211.43	0.51	0.34	0.36	253.58	168.77	143.45
NBR_0000005501	211.24	166.51	123.96	0.25	0.34	0.54	154.75	101.28	102.35
NBR_0000005601	52.39	53.48	46.12	146.69	134.43	131.22	40.34	38.94	31.8
NBR_0000005701	12.38	10.44	11.02	8.26	8.71	7.97	6.56	7.43	7.46
NBR_0000005801	9.24	10.26	10.42	6.26	4.04	3.33	10.09	11.64	12.18
NBR_0000005901	0.18	0.17	0.25	0.5	0.42	0.18	0.35	0.24	0
NBR_0000006001	11.34	8.9	8.34	5.55	7.29	4.81	5.79	4.2	3.27
NBR_0000006101	3.64	3.47	5.29	3.9	4.96	4.15	10.28	14.74	12.71
NBR_0000006201	23.16	22.66	23.77	15.88	15.02	14.84	25.25	33.68	40.88
NBR_0000006301	0.37	1.06	0.85	1.03	0.17	0.55	0.36	1	1.02
NBR_0000006401	0	0.09	0.25	0.08	0.42	0	0	0.4	0.25
NBR_0000006501	90.34	89.61	93.69	11.73	9.76	8.47	109.22	108.25	107.85
NBR_0000006601	7.07	9.24	8.56	5.1	4.46	6.39	9.82	9.88	9.13
NBR_0000006701	24.33	28.59	29.53	25.8	27.42	29.18	41.71	38.86	34.21
NBR_0000006801	0	0	0	0.26	0	0	0	0.25	0.26
NBR_0000006901	0	0	0	0	0	0	0	0	0
NBR_0000007001	0	0	0	0	0.14	0	0	0	0
NBR_0000007101	0	0	0	0	0	0.74	0	0	0
NBR_0000007201	2.98	2.47	3.07	50.2	41.29	42.58	2.87	2.41	1.97
NBR_0000007301	40.42	37.31	36.87	30.13	25.71	33.45	31.96	35.61	34.99
NBR_0000007401	45.37	48.96	52.81	30.19	32.22	33.2	60.26	60.28	60.6
NBR_0000007501	14.17	13.85	14.18	13.61	14.22	11.9	17.29	19.88	17.36
NBR_0000007601	0.19	0.25	0.51	0.96	1.25	1.02	0.25	0.4	0.27
NBR_0000007701	0.2	0.19	0.24	0.74	1.25	0.78	0.45	0.42	0.43
NBR_0000007801	0.55	0.26	0.5	0	0.26	0	0.26	0.25	0.5
NBR_0000007901	0	0	0	0	0	0	0	0.12	0
NBR_0000008001	0.43	0.41	0.13	0.27	0	0.14	0.42	0.26	0.53
NBR_0000008101	0	0	0	0	0	0	0	0	0
NBR_0000008201	0	0.11	0	0.11	0	0.12	0	0.11	0.32
NBR_0000008301	0.84	2.08	2.77	0.62	0.32	0.66	2.76	2.57	2.79
NBR_0000008401	109.69	115.15	113	79.11	87.17	72.32	119.93	119.74	107.58
NBR_0000008501	5.64	9.67	11.09	20.58	24.56	23	9.24	9.14	7
NBR_0000008601	26.14	27.24	26.89	35.38	35.63	37.54	30.16	28.04	26.15
NBR_0000008701	0.17	0.33	0	0.48	0.16	0.34	0.33	0	0.16
NBR_0000008801	0.25	0	0	0	0	0.25	0	0	0
NBR_0000008901	100.87	97.45	103.98	64.43	56.77	56.3	98.28	105.51	114.76
NBR_0000009001	17.26	19.22	18.58	6.33	5.22	7.23	15.18	14.39	13.66
NBR_0000009101	26.59	20.43	17.55	60.05	70.09	77.7	11.67	13.12	11.99
NBR_0000009201	4.32	5.83	5.88	5.2	4.42	6.37	5.72	5.02	4.59
NBR_0000009301	18.41	17.16	25.72	4.4	3.92	4.11	22.95	23.87	27.12
NBR_0000009401	568.41	547.9	538.74	12583.71	12057.54	11429.58	427.87	321.5	348.93
NBR_0000009501	5.24	6.18	8.15	16.48	21.38	22.93	5.41	4.43	4.88
NBR_0000009601	0	0	0	0.44	0	0.12	0	0	0
NBR_0000009701	20.02	20.3	19.62	31.43	30	28.87	29.99	28.63	23.63
NBR_0000009801	186.07	157.12	211.89	160.32	176.4	172.03	175.21	168.99	150.27
NBR_0000009901	25.21	23.28	23.2	38.69	36.64	38.15	35.04	30.95	25.87
NBR_0000010001	2.3	3.59	2.35	3.48	5.42	4.87	2.04	2.98	2.37
NBR_0000010101	1.8	1.22	0	1.19	0.72	0	0.99	0.46	0.71
NBR_0000010201	0.05	0.05	0.04	0	0	0	0	0	0.09
NBR_0000010301	0.32	0.36	0.2	0.64	0.55	0.37	0.26	0.39	0.3
NBR_0000010401	2.28	2.17	2.78	1.87	1.19	1.99	3.42	1.82	2.33
NBR_0000010501	0.67	0.63	0.57	0.97	0.94	0.51	0.92	1.24	1.09
NBR_0000010601	4.27	3.23	3.75	17.43	15.77	13.75	3.2	3.9	3.74
NBR_0000010701	0	0	0	0	0	0.2	0	0	0
NBR_0000010801	0	0	0	0	0	0	0	0	0
NBR_0000010901	0.05	0.12	0.11	0.04	0.09	0.02	0.12	0.17	0.02
NBR_0000011001	0	0	0	0	0	0	0	0	0.08
NBR_0000011101	3.15	4.06	4.37	0.28	0.95	0.4	4.5	4.66	2.99
NBR_0000011201	3.44	4.68	3.28	0.91	0.79	0.76	2.44	3.86	2.71
NBR_0000011301	0.43	0.88	1.24	0.29	0.14	0.04	0.63	0.52	0.32
NBR_0000011401	2.14	2.04	3.05	1.98	2.46	1.41	4.13	3.65	2.63
NBR_0000011501	0	0.06	0.06	0.06	0	0.06	0.12	0.06	0
NBR_0000011601	1.13	0.61	0.59	0.45	0.15	0.16	0.62	0.58	0.89
NBR_0000011701	11.54	14.43	13.86	11.56	11.85	11.48	16.88	15.89	17.39
NBR_0000011801	10.22	13.6	13.06	6.46	8.59	10.56	12.26	12.72	11.61
NBR_0000011901	6.2	6.35	8.72	12.77	13.61	16.16	10.1	7.29	7.02
NBR_0000012001	77.54	80.06	77.8	71.92	94.4	101.11	140.18	149.87	149.4
NBR_0000012101	23.24	29.26	28.57	15.58	18.83	19.25	27.93	27.29	28.29
NBR_0000012201	8.02	10.71	9.44	8.92	4.97	12	8.82	9	7.63
NBR_0000012301	13.39	13.09	12.35	4.35	3.05	4.74	16.5	15.74	18.08
NBR_0000012401	12.39	13.63	13.06	1.71	1.24	1.45	11.61	14.31	12.41
NBR_0000012501	5.63	4.38	5.29	0	0.14	0.15	2.86	3.34	3.27
NBR_0000012601	10.64	13.09	13.11	8.24	8.48	10.59	13.37	12.79	12.16
NBR_0000012701	27.91	20.54	23.2	51.98	56.38	49.61	28.93	23.22	23.48
NBR_0000012801	57.79	61.64	73.87	36.91	40.1	40.14	55.41	57.84	54.04
NBR_0000012901	11.31	10.23	9.27	37.56	40.51	43.78	9.48	5.79	5.71
NBR_0000013001	126.65	110.75	123.77	320.72	294.49	324.96	86.28	77.69	81.24
NBR_0000013101	17.18	20.2	18.03	34.79	38.06	41.7	10.8	14.39	16.63
NBR_0000013201	1.77	2.21	1.31	2.04	0.62	0.87	3.72	3.68	3.05
NBR_0000013301	10.82	12.86	11.86	20.49	22.11	19.97	12.38	13.93	14.18
NBR_0000013401	1.36	0.37	0.53	0.72	0.91	2.29	1.12	0.7	1.25
NBR_0000013501	1.44	1.58	0.91	2.66	2.69	4.57	1.17	0.9	0.92
NBR_0000013601	13.66	13.8	14.12	11.48	11.94	15.13	16.07	17.57	20.96
NBR_0000013701	30.79	31.52	29.14	74.93	66.8	63.36	30.36	28.82	24.4
NBR_0000013801	12.85	15	13.11	21.81	23.46	21.3	13.58	13.09	11.6
NBR_0000013901	67.83	73.08	79.58	26.04	27.09	28.11	68.86	82.79	70.86
NBR_0000014001	82.28	72.83	73.93	70.19	67.25	68.96	81.61	87.56	86.31
NBR_0000014101	0.15	0.16	0.13	0.03	0.03	0.04	0.27	0.24	0.31
NBR_0000014201	2.95	2.97	3.98	2.25	2.55	2.04	3.19	2.37	2.45
NBR_0000014301	3.79	5.06	4.2	4.91	3.81	5.07	2.33	3.08	3.15
NBR_0000014401	0	0	0	0	0	0	0	0	0.32
NBR_0000014501	54.58	60.4	68.86	138.09	189.77	214.85	68.97	64.74	68.85
NBR_0000014601	1.63	1.99	2.25	7.29	8.34	7.12	2.45	2.9	1.85
NBR_0000014701	6.23	5.94	5.4	0.3	0.61	0.32	5.38	4.73	2.72
NBR_0000014801	3.56	3.47	3.4	0.58	0.59	0.47	3.81	2.49	3.86
NBR_0000014901	13.94	17.02	19.34	6.69	6.24	6.93	21.88	25.1	25.58
NBR_0000015001	45.76	48.54	46.24	20.16	21.89	21.5	34.9	41.4	33.37
NBR_0000015101	39.75	47.01	42.86	24.9	23.07	31.41	53.04	49.98	47.46
NBR_0000015201	3.55	3.26	3.82	1.7	2.25	2.18	13.25	11.12	14.98
NBR_0000015301	16.77	13.05	14.68	10	10.47	10.81	13.55	15.26	12.61
NBR_0000015401	20.4	20.25	20.41	17.08	16.42	18.45	24.83	23.62	22.56
NBR_0000015501	9.96	11.45	11.63	36.05	35.88	44.96	10.05	9.18	7.7
NBR_0000015601	25.67	26.39	24.15	16.62	17.16	16.56	27.57	22.6	23.15
NBR_0000015701	39.29	44.48	43.98	46.42	45.92	41.27	54.83	54.14	53.72
NBR_0000015801	36.15	38.12	36.88	30.92	32.18	40.82	40.3	38.19	40.13
NBR_0000015901	39.62	53.1	54.2	45.18	46.77	44.2	55.8	58.44	46.62
NBR_0000016001	0.31	0.39	0.69	0.6	0.35	0.64	0.43	0.65	0.44
NBR_0000016101	37.81	37.39	37.07	11.87	11.13	10.1	32.41	29.05	27.77
NBR_0000016201	0	0	0	0	0	0	0	0	0
NBR_0000016301	0	0	0	0	0	0	0	0	0
NBR_0000016401	0	0	0.07	0	0.07	0	0	0	0.13
NBR_0000016501	1.64	1.96	3.69	6.11	6.82	6.83	3.6	12.81	15.32
NBR_0000016601	4.41	7.43	6.67	1.72	1.43	0.67	11.61	9.77	8.58
NBR_0000016701	14.95	25.26	14.78	14.04	16.26	17.54	12.08	12.16	9.76
NBR_0000016801	1.9	2.08	2.08	0.83	0.84	0.93	2.01	2.09	1.92
NBR_0000016901	23	17.85	16.36	2.95	4.79	5.02	6.57	8.05	7.45
NBR_0000017001	46.64	43.82	36.42	8.58	8.5	11.56	23.46	18.76	15.76
NBR_0000017101	16.27	14.78	15.27	35.71	32.18	36.72	16.5	14.45	15.86
NBR_0000017201	0	0	0.13	0	0.13	0.14	0	0	0
NBR_0000017301	0	0	0	0	0	0	0	0	0
NBR_0000017401	0.96	0.85	1.02	0	0.07	0	0.43	0.53	0.41
NBR_0000017501	138.84	140.06	147.11	122.36	125.56	124.54	139.6	158.21	156.59
NBR_0000017601	422.71	445.66	391.5	838.33	828.06	775.41	422.63	367.87	391.27
NBR_0000017701	11.45	15.97	14.26	11.22	13.01	12.82	12.77	13.71	12.44
NBR_0000017801	6.85	13.21	10.92	10.38	8.06	8.46	12.52	10.12	7.92
NBR_0000017901	1.2	1.25	1.47	0.73	0.69	1.13	1.42	2.19	1.46
NBR_0000018001	261.61	195.98	269.77	34.52	36.55	30.11	201.42	273.01	258.1
NBR_0000018101	1.33	0.95	1.28	1.05	1.81	1.77	2.19	2.82	2.58
NBR_0000018201	43.3	44.88	39.28	53.84	52.48	55.01	34.86	36.18	31.65
NBR_0000018301	0.28	0.35	0.76	6.08	6.94	5.1	0.27	0.08	0.09
NBR_0000018401	0	0.09	0.09	0	0	0	0.09	0	0
NBR_0000018501	27.97	26.64	26.35	87.43	85.92	81.53	30.79	24.88	25.86
NBR_0000018601	0.08	0	0.07	0.45	0.6	0.71	0	0	0.15
NBR_0000018701	5.43	8.5	8.93	18.05	16.94	11.85	8.71	9.33	7.77
NBR_0000018801	34.35	38.94	42.59	36.73	36.59	36.39	39.67	41.46	41.28
NBR_0000018901	1.16	0.91	1.14	5.97	7.69	8.03	0.68	1.19	1.03
NBR_0000019001	17.91	21.76	19.6	20.95	23.79	26.33	18.36	16.62	16.8
NBR_0000019101	23.01	23.19	28	23.47	23.23	22.76	23.32	24.61	26.53
NBR_0000019201	54.79	61.39	58.02	48.6	51.64	51.86	41.36	49.47	49.32
NBR_0000019301	21.17	22.07	21.4	16.02	16.77	17.83	16.7	16.55	16.83
NBR_0000019401	19.89	24.86	22.07	68.24	64.9	66.35	44.44	31.82	33.21
NBR_0000019501	11.65	12.88	12.93	8.19	10.63	11.12	13.28	13.34	13.5
NBR_0000019601	4.24	4.96	2.66	3.02	4.54	4.05	4.67	3.49	3.12
NBR_0000019701	6.72	8.44	7.9	5.39	6.12	5.7	6.12	6.48	6.12
NBR_0000019801	0	0.18	0	0	0	0	0.18	0.17	0
NBR_0000019901	16.24	21.51	17.28	4.68	5.2	5.69	25.02	25.98	19.97
NBR_0000020001	22.55	25.7	19.95	5.48	7.38	7.36	27.89	28.09	25.05
NBR_0000020101	2.1	2.79	2.59	8.33	10.5	14.01	2.83	2.45	1.25
NBR_0000020201	2.61	2.41	3.69	8.19	12.3	12.52	2.52	2.14	2.4
NBR_0000020301	2.12	2.31	2.5	0.28	0.57	0.3	1.46	1.64	1.95
NBR_0000020401	0.95	0.6	0.29	0.15	0	0.46	1.37	0.85	1.02
NBR_0000020501	270.24	238.64	193.63	19.33	20.92	21.12	179.08	127.32	130.93
NBR_0000020601	27.85	26.79	27.42	24.09	27.21	34.36	30.22	32.88	33.2
NBR_0000020701	13.66	14.31	13.15	2.6	2.91	3.05	10.58	11.77	11.1
NBR_0000020801	45.38	48.83	47.62	36.26	42.1	47.02	56.68	57.2	57.57
NBR_0000020901	0.97	0.83	1.59	1.79	2.9	3.8	1.68	1.48	1.69
NBR_0000021001	68.61	62.39	69.73	46.08	38.69	37.03	63.3	59.13	49.73
NBR_0000021101	113.27	99.03	97.33	67.45	65.16	60.71	91.74	88.99	83.78
NBR_0000021201	3.6	4.66	4.2	4.4	4.79	4.47	4.8	4.64	4.31
NBR_0000021301	1.71	1.28	1.34	0.36	0.31	0.32	1.07	1.16	1.4
NBR_0000021401	14.92	18.38	17.79	3.91	6.39	6.21	15.95	17.74	15.61
NBR_0000021501	82.35	66.5	73.01	222.82	219.22	249.54	66.41	62.65	66.76
NBR_0000021601	11.88	11.92	12.15	8.81	10.71	10.43	11.88	11.78	11.69
NBR_0000021701	15.83	12.49	13.63	9.7	11.12	12.35	12.95	15.99	16.68
NBR_0000021801	6.18	5.03	5.08	4.88	4.25	4.88	4.97	5.31	5.5
NBR_0000021901	27.95	32.71	35.26	15.92	20.28	22.26	34.1	35.25	34.12
NBR_0000022001	0	0	0.8	0.41	0	0.43	0.42	0.39	0
NBR_0000022101	1.96	2.87	2.34	1.39	1.55	2.52	2.61	2.98	2.35
NBR_0000022201	2.77	3.74	4	1.9	1.09	1.58	2.84	2.65	2.14
NBR_0000022301	11.68	12.34	12.36	10.84	12.19	9.13	8.57	9.06	7.67
NBR_0000022401	7.68	9.97	10.96	17.75	20.82	21.05	10.99	9.95	9.42
NBR_0000022501	4.59	5.68	3.29	1.14	1.33	0.93	4.06	3.41	3.05
NBR_0000022601	24.11	25.99	21.01	0.21	0.21	0.67	24.55	17.2	17.79
NBR_0000022701	1.34	1.13	2.09	1.38	1.11	1.32	1.97	1.92	1.74
NBR_0000022801	1282.15	1515.3	1520.16	475.85	448.52	413.05	1681.38	1846.09	1719.12
NBR_0000022901	48.17	59.18	50.99	52.75	53.36	54.27	64.22	60.09	66.28
NBR_0000023001	23.27	27.99	27.73	27.75	28.09	33.1	30.62	28.49	29.57
NBR_0000023101	3.41	4.51	4.54	3.24	3.37	3.67	4.74	4.94	5.14
NBR_0000023201	15.24	19.18	20.19	28.3	27.7	22.21	19.19	21.61	17.37
NBR_0000023301	0	0	0.16	0.64	0.32	0.34	0	0.31	0.16
NBR_0000023401	1.67	1.84	1.62	1.89	1.6	2.37	1.31	1.26	0.95
NBR_0000023501	0.55	0.73	0.8	0.71	0.82	0.54	1.05	1.58	0.91
NBR_0000023601	4.47	3.09	3.82	2.2	2.34	1.6	4.3	4.96	3.79
NBR_0000023701	0.15	0.18	0.17	0.04	0.04	0	0.18	0.14	0.11
NBR_0000023801	0.69	0.49	0.56	0.27	0.48	0.41	0.26	0.38	0.54
NBR_0000023901	22.03	25.66	23.16	21.79	19.11	19.49	26.4	25.42	26.46
NBR_0000024001	41.7	35.95	36.21	30.87	35.39	35.05	43.15	45.13	43.06
NBR_0000024101	41.1	39.97	40.15	24.57	25.99	27.47	40.35	39.95	36.83
NBR_0000024201	24.8	25.75	27.87	14.91	17.21	20.85	17.85	20.84	17.18
NBR_0000024301	34.08	37.28	35.81	153.12	126.03	111.48	36.58	31.9	30.56
NBR_0000024401	0.62	1.47	1.13	1.04	0.96	0.81	1.48	1.02	1.23
NBR_0000024501	8.85	10.92	10.79	36.31	29.58	27.42	5.65	5.28	4.35
NBR_0000024601	31.23	30.06	29.31	73.24	75.8	70.71	32.92	32.74	28.16
NBR_0000024701	5.63	5.25	5.99	9.06	8.31	8.24	6.26	6.02	6.21
NBR_0000024801	10.65	12.35	12.01	11.99	16.35	14.56	9.64	14.2	12.97
NBR_0000024901	48.42	53	48.57	75.49	75.53	75.09	58.66	63.19	58.89
NBR_0000025001	3.5	3.52	3.95	9.33	9.45	8.79	4.13	3.73	4.35
NBR_0000025101	350.97	335.92	319.25	246.29	242.41	233.81	350.63	334.73	323.57
NBR_0000025201	0	0	0	0	0	0.09	0.09	0	0.08
NBR_0000025301	56.13	52.31	58.19	43.67	50.49	55.84	69.87	68.8	80.52
NBR_0000025401	0.27	0.13	0.12	0.13	0.13	0	0	0.12	0
NBR_0000025501	4.25	4.94	5.07	2.17	2.82	2.96	4.71	5.88	6.57
NBR_0000025601	42.67	49.42	53.81	76.12	74.98	66.95	67.37	68.14	72.58
NBR_0000025701	24.65	29.39	27.76	30.5	32.68	34.17	23.46	24.51	22.42
NBR_0000025801	12.43	15.34	15.23	8.3	8.24	9.5	12.63	11.45	10.4
NBR_0000025901	34.43	38.2	38.95	14.43	12.6	16.53	38.19	50.16	43.39
NBR_0000026001	4.66	4.75	3.09	4.61	4.67	4.27	4.26	4.99	3.92
NBR_0000026101	43.12	39.65	41.56	65.54	53.67	56.79	31.99	30.02	25.3
NBR_0000026201	20.15	22.11	21.7	15.13	14.57	17.32	28.18	24.82	25.62
NBR_0000026301	15.53	21.96	23.28	14.8	15	14.32	26	26.23	24.38
NBR_0000026401	6.75	6.2	6.93	6.57	7.21	7.34	17.23	15.99	22.45
NBR_0000026501	890.41	794.07	817.32	1009.02	973.51	1069.1	779.79	881.56	1042.38
NBR_0000026601	0.07	0.32	0.42	0.49	0.43	0.59	0.7	1.13	0.43
NBR_0000026701	6.77	6.72	6.38	24.03	26.02	27.24	4.53	3.78	3.34
NBR_0000026801	30.14	28.7	30.72	50.12	49.03	54.14	21.97	19.94	17.15
NBR_0000026901	0	0.35	0	0.5	0.51	0.54	0.35	0.16	0.67
NBR_0000027001	0	0.12	0.46	0.58	0.94	0.87	0.24	0.34	0.46
NBR_0000027101	131.31	127.14	140.9	296.82	307.02	312.85	155.37	139.52	118.78
NBR_0000027201	1.42	1.69	1.91	1.64	2.19	2.06	1.53	1.23	1.11
NBR_0000027301	46.02	52.64	50.55	27.49	25.58	28.46	64.85	62.64	51.38
NBR_0000027401	100.88	111	114.99	7.19	6.03	6.73	101.74	103.45	108.54
NBR_0000027501	0.19	0	0	5.7	6.31	4.41	0	0	0.52
NBR_0000027601	31.47	27.21	14.16	4.07	5.42	5.2	18.92	11.45	9.38
NBR_0000027701	58.17	59.74	61.21	58.05	62.62	56.47	48.95	51.03	51.31
NBR_0000027801	78.83	80.09	74.6	73.99	77.36	72.41	51.7	58.7	51.34
NBR_0000027901	1.05	0.25	0.84	1.21	0.37	1.29	0.13	0.24	0.36
NBR_0000028001	9.47	8.44	7.41	6.92	7.16	7.81	5.15	5.5	4.5
NBR_0000028101	64.46	60.11	64.1	28.21	32.61	34.87	58.46	61.82	64.32
NBR_0000028201	33.41	34.18	35.58	41.49	43.35	43.91	48.62	49.75	45.21
NBR_0000028301	1.24	1.18	1.13	0.76	1.16	1.22	1.39	2.41	2.28
NBR_0000028401	1.06	1.22	2.14	0.39	0.4	0.42	1.03	2.3	3.53
NBR_0000028501	27.39	25.56	17.08	2.81	3.73	2.85	14.56	11.51	9.16
NBR_0000028601	34.52	37.38	37.15	11.8	15.7	19.2	41.89	45.99	48.95
NBR_0000028701	0.27	0	0	0	0	0	0.26	0.24	0
NBR_0000028801	0.25	0.24	0.15	0	0.15	0.16	0.16	0.07	0.23
NBR_0000028901	116.4	119.11	128.26	303.86	323.76	336.64	126.72	113.46	136.58
NBR_0000029001	24.33	27.71	24.06	88.65	90.16	90.26	22.22	21.09	18.76
NBR_0000029101	0.75	1.24	1.19	1.96	1.86	1.62	0.4	0.86	0.88
NBR_0000029201	4.21	5.33	5.53	6.25	5.87	5.51	4.49	4.79	3.67
NBR_0000029301	0.13	0.19	0.12	0.12	0.12	0.38	0.12	0.17	0.12
NBR_0000029401	0.59	0.56	1.22	0.41	0.56	1.02	0	0.4	0.41
NBR_0000029501	1.06	0.84	0.7	1.2	0.66	0.75	0.11	0.64	0.49
NBR_0000029601	23.76	24.41	29.08	3.46	3.85	3.06	22.47	29.3	19.91
NBR_0000029701	51.04	60.49	55.52	39.11	52.09	59.88	73.52	71.66	63.87
NBR_0000029801	4.68	2.43	3.38	2.76	1.46	2.09	5.2	4.6	4.05
NBR_0000029901	2.4	3.62	2.93	3.33	3.66	3.15	2.8	2.16	2.03
NBR_0000030001	58.01	65.62	69.86	3.02	3.44	2.68	60.88	59.45	53.62
NBR_0000030101	17.17	21.55	20.28	10.93	12.78	12.63	16.99	19.86	18.84
NBR_0000030201	1.26	1.02	0.98	0.81	0.77	1.18	0.85	0.68	0.46
NBR_0000030301	11.58	9.33	13.16	49.14	42.57	48.18	8.72	10.48	10.72
NBR_0000030401	1.17	1.27	1.07	0	0.62	0.16	1.13	0.9	0.92
NBR_0000030501	0	0	0.26	1.06	0.54	0.42	0	0	0.13
NBR_0000030601	0.4	0.28	0.21	0.86	0.38	0.74	0.06	0.31	0.11
NBR_0000030701	11.71	12.79	11.04	11.16	12.69	16.14	10.06	11.94	9.6
NBR_0000030801	30.79	34.85	34.22	31.05	36.78	37.47	30.11	30.49	27.94
NBR_0000030901	16.62	21.9	22.69	10.31	12.24	12.35	26.82	26.15	25.27
NBR_0000031001	791.86	817.69	803.5	2282.99	2044.84	1932.7	662.88	609.26	594.6
NBR_0000031101	0.87	0.65	0.8	0.48	0.39	0.41	1.12	0.76	0.62
NBR_0000031201	10.56	9.82	10.56	40.29	29.67	25.95	11.01	8.51	7.34
NBR_0000031301	6.96	7.6	6.37	14.88	21.47	19.82	7.97	6.66	5.07
NBR_0000031401	25.52	29.74	29.88	25.43	25.6	27.21	37.96	37.69	32.55
NBR_0000031501	52.52	74.68	80.27	88.08	92.36	99.65	69.55	68.44	55.93
NBR_0000031601	24.42	21.2	26.43	7.78	7.78	7.65	36.98	35.41	31.58
